Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Bytes,Mean,Error,StdDev,Scaled,ScaledSD,Throughput
HashByteArray,City64WithSeeds_Block,clr-legacy-x86-32,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X86,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,38.204 ns,0.2304 ns,0.2155 ns,18.72,0.24,100 MiB/s
CombineHashCodes,Empty,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.706 ns,0.0144 ns,0.0134 ns,1.00,0.00,"2,237 MiB/s"
HashByteArray,SeaHash_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,18.557 ns,0.1150 ns,0.1076 ns,10.88,0.10,206 MiB/s
CombineHashCodes,MultiplyAdd_Reordered_Custom,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.996 ns,0.0215 ns,0.0179 ns,1.17,0.01,"1,911 MiB/s"
HashByteArray,Murmur3x8632_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,13.095 ns,0.0738 ns,0.0690 ns,7.68,0.07,291 MiB/s
HashByteArray,XxHash32_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,20.714 ns,0.1078 ns,0.1008 ns,12.15,0.11,184 MiB/s
CombineHashCodes,Murmur3A_Steps,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,5.090 ns,0.0358 ns,0.0335 ns,2.98,0.03,749 MiB/s
HashByteArray,XxHash64_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,17.761 ns,0.1241 ns,0.1161 ns,10.41,0.10,215 MiB/s
CombineHashCodes,HSip13_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,66.030 ns,0.7280 ns,0.6810 ns,38.72,0.48,58 MiB/s
CombineHashCodes,HSip24_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,110.968 ns,0.8323 ns,0.7785 ns,65.07,0.66,34 MiB/s
